,id,name,nationality,city,mobile_number,alternate_mobile_number,primary_email_id,alternate_email_id,birthday,tagline,hastags,about,gpa,company name,industry,locality,country,language,industry_knowledge,tools_and_technologies
10,10,Maja Nicholson,United States of America,Dallas,9482542371,9282528399,kyhz5fno6i@gmail.com,5imz366hkl@outlook.com,06-01-1982,QwPDuUNKLXsXEOYZeYAKBrKOV,#SiTkLtZ,fccoVqNDJdVtEKhtFFqMTWnddyRVIweyHiqVmgXtDLDUTHoWXRSSuUdEXgXeLOuXNxlEnNvEuvJeElSCLTxmdYdVrtvGoVgQrhPYzXdlHNMrkegfXyirbLTSJlodOIlGvszjWqIERiqmopXNtnYClNEwaXdHDfMhihcSRaLOYZeEYPBrobwEGYrAPznbaTRwVnvCZMCKXBoavIyjLCFhdWzqTNcgjksWCoIWnRXrEUNxeVpCYFXUjDWNEj,3.25,united states air force,defense & space,"randolph, texas, united states",united states,Indonesian,Extensible markup language XML,Enterprise application integration software
11,11,Sasha Jansen,United States of America,Chicago,7762397361,7433200484,bnqictivtb@gmail.com,4282yrvbyr@outlook.com,28-12-2012,TxiqkvQJiYmKKqLCvLMoiFnPU,#PAUkPMg,roEylpqSZsCHnTJmFwqXqwhkjJqIBIBeEemfXIQXWrvaUKwkYgQxtbfzneWrJsGJKizFSAMyQwHiEIXvYaIbAJFBBGVIkJwQLWKXXhazrLSDFrvOSLJDtEPRWfuhTbBbOiHdKSdzowgimrsaazOQWaxAwODCqbKGvgCNOEFTVUViXalSKctqKkVtnoUWmbkITbyrqoquPePXPJrCaFUVGYvlsJcNDUulvfKXbVpNbDaSRMjodTykJzJciE,3.18,pwc,accounting,"new york, new york, united states",united states,Portugese,Fund accounting software,Accounting software
12,12,Alexander Sherman,United States of America,Omaha,7816537620,8460479681,mow2tzx6l6@gmail.com,51b1lwbnlf@outlook.com,21-10-1988,lqcSMtKYehCfpXsQIfiPvgfLR,#iPewoyI,RjgGaOJVpzcWzvzTgouQcQgmjPGlXrrAzFghXFZoruKhrvRHRRPHSnxVDkWvcxzakymbNalalSuGNEfYmYgCATagynKKqcZQbqHSqEVVsssQhOnqRdYiVsPsAnmAHbGJRUwoZVsFYUtshPsfgmYZucmGaxLdyprYiHVeiMXIEgXTAVDcWtsLASEqcUTXtVruPfwfvfkOfLsHOlgKHNLJELeLxUFjGtTIFBRMtepxlKnVCXLAoUmZBxSgXM,3.85,wells fargo,financial services,"san francisco, california, united states",united states,French,Graphic presentation software,Graphics or photo imaging software
13,13,Edgar Sanchez,Mexico,Tijuana,8371337900,9889778479,p9idnz6yq8@gmail.com,opygwls3p5@outlook.com,19-06-1981,XHbsQAMFwlujJeKjTEbyIoCsE,#TmZdqfL,wzMCSrnqYgTQXZnIYlIQQTNygccCouOrTaqPauBLOVGvRMqNxYCghhJDKsFzluamQICXpUvKXLJmguKaJBVcbHsoOMaeGtkiFXWYnCSgxOHCMRDPmaeVdHaPUPLjBtudsptpqrhqDNyfUtyyvvzPgDWaNxoIwpxgmsDgCAAZAZCVahqceSGQkPkudHAXRcVvyTwuvarlCzcSOUOgcmRvztbUflHSVZdcIKoDXnhqiwwSbAYxQxQbWbliNT,2.58,infosys,information technology and services,"bangalore, karnataka, india",india,Chinese,Halogen e360,Human resources software
14,14,Kolbi Strunk,United States of America,Mission Viejo,8348238911,7102802110,ikp126i8u2@gmail.com,k2min5prkt@outlook.com,02-02-2002,hEPSKCELAmvBLRikTrdfjrZhW,#qajgRIR,vnvUcnwzUDFqRXXFPAkVjScXfJjKETQLDDryryqmOHkQfCAyUVUmyKsIENRGDTplrBalgzqTTLhXDeFKkGeRGhhPHVFULyBsMHijHtVzgHMxVDAyzCsWKEhfssoNkSXrryiLhNeUttozfAWCqbWUUzefbsZGsnvdJBUGEPMleMBvMldRNMIcjydJjbdxIcMPzfTReslobFVQihJfcrqCzbWTGqwSzYXIOgJTcUiCjHSfSYTIywIJUDkJiQ,3.5,deloitte,management consulting,"new york, new york, united states",united states,Korean,Halogen ePraisal,Human resources software
15,15,Brittany Sath,Japan,Tokyo,7584450425,8470664982,3m7pmozyzc@gmail.com,xjltiesv6n@outlook.com,22-01-1982,qlSvQbngtMRIRPohqMjWXSUMv,#cZfvyIz,NBlyHRyCrvVGvQKWxdCYewRqPxFPOYrEHRwENrfbdmgVvQfeZLvgJrOsVOOiyPjvqHgdXmunDrvNaRlWAzjPaNoWArvmKLGwqvnPoxXSusoIeVcStPLpXPZhauszdpJZGTEDGDTugbkDEayGlnMaOEMYugWpHnHQULGMQCuFXAgtcMdiBSDFFGuIxCKenWtismujtwmtMLacMqXvcTvEFMVkYbKRCbFLWVgHyMdOpdwhjsPSTXrnSnVgkL,3.17,citi,financial services,"new york, new york, united states",united states,Thai,HCSS HeavyBid,Project management software
16,16,Meggan Smith,United States of America,Los Angeles,7620512655,8319637541,st2dyjto5w@gmail.com,vtns2wxlt6@outlook.com,17-09-2015,eosqFxOhUVTGEGxQZgQlZVYmM,#RypnalZ,QwtqvjrpmTbfaLRtasTjSGPpDdFuCkKQpquJmmYlZfWkrECNDiVBrAfcwBykqyhcguqSSRwOAOSCpXdKXJolhojrKfJGJoVOxvaVfJVAzGlXqTweqUoeeHAxNhUAKIHGXJhYgleewZNRxSbURRChnNTNjaYQmMpVrALxgoNSIYXXPjnThKPTzsYMQPkfjAfOlIKnbSQAxuwPCghcqaSzQcaWtjAabDLpBLUiRgUFyntkGQbeBHDVklJdGL,2.74,bank of america,banking,"charlotte, north carolina, united states",united states,Estonian,HCSS HeavyJob,Project management software
17,17,Ericka Arreola,Mexico,Mexico,9011559942,8290910421,ybhqsovipv@gmail.com,s9kg7sjrcy@outlook.com,20-08-2012,dXjcGkXuADatvDNdiDnirHlLh,#cZWIXuP,mdhNCNhBmVxMtRyOLinMBqNiwGelReklUfoHcHKeWyVCxbAwLJEUHJlGVGSiHwpYCFXZxEBxCzeuAzoKHHpSkWFMpvlozPbJnczGJdVrJTUsOpONsUQpsmdfgCpPvOSBRvyqIUaGtjYVwCDbGnzSdNqynTMQDhnMfMNKTiJyHkzbvezhAvfbubakdLAMjWwoUNZjhucdUPfImXBFrLFcWJTntMhlksRkoewVyfoFUvUmqpozhyjhxbDfEr,3.42,jpmorgan chase & co.,financial services,"new york, new york, united states",united states,Portugese,Human resource information system HRIS,Human resources software
18,18,David Pulc,Canada,Toronto,6935597527,8707087004,ipfrm4d6tw@gmail.com,m28lfykk9v@outlook.com,12-03-2001,QZkUTPCDkkhymcbFxAdDOBzZX,#UOzrfyS,bgUITZIQrhHfBaPLfJNzHCNPLiMtwrPyvUwFGiNZfQsBscupGosfBWOUKdUUmAFSAupfIRftEQFKZmOtZjchLrCTAnwPVRmNtdoWBZbJeeIXAPdJJdqdYWWnZpuRsAOyhQVcSrAdwiidXEohCssgQwLqVcrzVtJHEWdzmCPbQGmcpSmRQcOVaEloZzvAtbQJGpIWkSKEwSPfpwEDSJXceFzJXZpoxhAFelDswSzkdgyFHyKCUCeiJsFsKt,2.9,us navy,military,"washington, district of columbia, united states",united states,Portugese,Infor SSA Human Capital Management,Human resources software
19,19,Kyle Luckey,United States of America,Moreno Valley,9074325656,8200802836,a0qfdpp6ke@gmail.com,nuv6rfcpvv@outlook.com,17-03-2010,GapyCSSojfcILoxRwZzLFSRKm,#DhmxJpC,BAKfqVuMDFslvDDuefudyLWnSMSjlDDwzQcabLGTxWEISNAWtDANGBeOacsdEXrKeujiLooZSZYIgrYUtCQwjHueyFcmHWxFfwjjqNFXqQaZCaLECxKgPNeHFhgqmJHwkYBKwTIPRQdaUAcLRUaGJbKUaEcqQXWsKtDoBYNlPRWwdCKDPuvWJSmhHLGaJXcqPIfqHJmljBLywYoRsvVALkOMyDHYZYTnEoISyhMCTkhqqwIVGZrfUvdVkG,3.16,amazon,internet,"seattle, washington, united states",united states,Hindi,Intuit QuickBooks,Accounting software
20,20,Rojesh Her,Japan,Tokyo,9400997335,9559578350,zhllszj7xm@gmail.com,xn09sv1z6a@outlook.com,08-04-1978,wvXHFvZncXdDJDjkuOOUUcaEK,#kcOTXmX,JMTTCPLoegBpLewokyoxjLQvxUspwSYxTxIvNDSMXmUqfgjtZIXBlIJHOxvhiieQrvFgTwAVqEtveHIbjbPJsJRWNQdCMzgYUsGlzimsTeWWSYLrtinabJPJBraINUBfADlmxuusqAjIZNqdATzMrjypGUgqsmxwIliMGcKJEFnFmRMjPwGJUsxiQPbKxcyMMcMpDCOUfvKJwKRcVwXeKOaqhsbyTbojyWnfPWKlJRpjoZiaquOjzQUyUO,3.78,apple,consumer electronics,"cupertino, california, united states",united states,Tamil,Listserv software,Electronic mail software
21,21,David Weber,China,Peking,7958828239,9685477056,f9i11b1mnv@gmail.com,jltkr8tn99@outlook.com,18-06-1978,zXHczySOuRVbkhkCbnfsIkaxh,#ZQSgvXL,FMxnbpzOdZNCFsDEtVnSlSONBlwpXkMtvOJWoUOhTqpYKQlEZHPeXmEdzKLkwfSFOJwFuRWpcQqqBNameVsoZgfTBlYFxAjIDVUlzgdUqgTEaLsEoVLCRshRwJpLQJGYiQccLtrNhbiEqFLCJqYgIgtHRQeTvpgWQgLMbhsfkwHcotOWzqGkIlcXIVTdcpixMKNvSpZXpBeginsznkvNteidXvlskJbrKnDNeZJbcRwZsfGpzecPkohrLL,2.72,siemens,electrical/electronic manufacturing,"munich, bavaria, germany",germany,Spanish,Lyris HQ Web-Analytics Solution,Analytical or scientific software
22,22,Rachel Jambor,United States of America,Chicago,9240336128,9965651415,gx3nvxbip4@gmail.com,wyf39daaf2@outlook.com,15-12-1971,kJXCVMnCtCEOEJZaZzVpjYKEA,#EPARbMR,syEudXMnzStlappOOTQoajhosRxfrBBeOTYJlTYGDmTBASzDXkqAAyvSKbPMSwiyZPMeTFEsOCavoLLnHvCvNGlgRPpforupDgqouVtWclENuyUoFADVFoowJyHtkbEFttJpSeIKcmcqpPgALYCMoHHiKYFxDlAZbpNSXdCjEmeDMNjZnPeHsdJHpfOoZzRLlCWCzBHFCwAVnaGJNgSLlxEYRWBvsIEikrUkGDJgeMDLAsetQgQqsoOtNw,2.81,oracle,information technology and services,"redwood shores, california, united states",united states,French,Microsoft Access,Data base user interface and query software
23,23,Mus'ab al-Moustafa,Pakistan,Rawalpindi,9154307290,7334494123,lpe54d42o7@gmail.com,4y80qf8hs8@outlook.com,07-01-2001,GUTDjuixPdHjfIsETjfVPmRVO,#yltiPfq,LUlVQrFodcLXkmRRShjDJKPumHzoHDWzSQUBaBjclajoHAJgjgnnvyUHeSJDOlNoYPAedIvRfjGpcKjhuqNOysjnVniiwRKZxcPUJtVPGWKURvtvPEkBMVHwpqBoaGmjkFLpAshEtqKIRuOFAVWSCOrgFKbkGdEOZYodsoebyPxRUoONXguRGRjhnBVIKWbUcszyzVSUHsvntuyanlzyqeIEsxlXlmttOUkvHmwOCxxebXMyQdCSvCJsyI,3.56,nokia,telecommunications,"espoo, uusimaa, finland",finland,French,Microsoft Dynamics AX,Enterprise resource planning ERP software
24,24,Sila Nguyen,China,Hebi,8062586798,9879423100,krcz7yiuqj@gmail.com,xiubguyu56@outlook.com,17-04-1980,rTQPTHAZBJUmTiPbVgtoRkMeS,#UtwkqZi,IxkptHAflNFcZKetXRMEcwJtSThduXAkgkDZZREiXMcvsGgfgGtSTZHwCCsYWbGQkCETZxOarszhhFLMiOOdPAQBNyOLbWtWKCOJZtjTwBJlAKYsLSCbsNSiqVIwKOdznyCjhONSYEmLpmvlkBvQJvaFmXDfrjFgQqByBowNnOfDOBowDuUDPDBHYgeQxdESfhwlUptZyxXBVPwGxQSwUusOrsrugcPjwTjlPzuLJNceEYtLrqUdoZmsSy,3.3,education nationale,public policy,"paris, île-de-france, france",france,Estonian,Microsoft Dynamics GP,Enterprise resource planning ERP software
25,25,Samantha Hicks,United States of America,Santa Barbara,8860769654,9780735398,cm6v0iubpx@gmail.com,x2miy0mhz9@outlook.com,21-10-2022,fbUIQQpoyJLOoencNVmKfqFGP,#FtmoMki,nARFViJRqVvArGzacDIMQUTHQfTUlkhyOiQiQMPJGJizygcnytbDPzCfJHHHiuTgjRBECocfLyDjWnDkmlCXlOsFCxbtmwryXligjzwrJfCPUrCZImcoiTguBwhLRkKMnjIFJRgxCmhqBltmPCWsANkDAzWyLOupAgfvULJPVndpdFcgUxqTNeirDqLtTllkAaYFCsOLeWLFqNhwiDNRZUdIAIpSbZKLOotOzIvqPLzkEfYcbOmuWhpRuv,4,capgemini,information technology and services,"france, aquitaine, france",france,Korean,Microsoft Excel,Spreadsheet software
26,26,Angela Harding,United States of America,Manteca,6850414836,8088655240,r00hxa522c@gmail.com,b17jw4wdlj@outlook.com,18-12-1999,XHgWDgkCKFsdWuphLBwWYFEeW,#rETwceM,maxvzlhRlTqzmLaRpxiUPUlZcUGrpkuNPdqPicCrNWDxraCYbmAORetTivEXAEHPtkUvgGzODpcyvCyCeQgznDqEgaZnaLDLVREKAoztRWcXtVWcSPGLPwOfjclvrbHrUDQdLCpusZDyHORYQIHyQiztNrQBkBHHDBYPXzUhDBgzwxzIFPtEzcohyfAMZnALWvgADlOzJwyouTlLuYwMQEcbwXdmmKTkPUcmYZOemEEFkZvnWWbKMEWHoO,3.4,wipro technologies,information technology and services,"bangalore, karnataka, india",india,French,Microsoft FRx,Financial analysis software
27,27,Brandon Barbour,United States of America,South Hill,7505704580,7298791081,vkini3zzwy@gmail.com,194rwcyvvm@outlook.com,14-01-2014,gLyPVLvUcjjfLLABoHfRsJQGO,#duHnLap,CmYxGBJNbvzxNdMfaucEnWBqzNHvFGpsPakXhZoQQnLXYEJoPadOXitlkCTCAITxmhEafUfSjBzXmRGyDkFIKKDBbOaJhGdLpojYaeaSmrmDFXwYjibWMWvglWKeYNVRClkNSnqKiDEOqhwmOcOEyzAGOEBTziszNqjJSNYneVwZwUSKXVsOYKsUTuDjxIHcBmRuebWPwFkvKXzHTdEjaSBGVNZwaVrIzPfAfaxfFJDmjxeQGRSoIuZPXZ,2.29,hsbc,financial services,"london, greater london, united kingdom",united kingdom,Pushto,Microsoft Office,Office suite software
28,28,Reilly Wagar,United States of America,Modesto,8362256664,8412125257,wk0la06cmo@gmail.com,g79iatrw4m@outlook.com,10-10-2009,jnCGPIUTXwEWvSzUJhysUEIme,#DrVtDgz,BgqZSnxCGKMhymdyPgBVJlThXxUFLkMOZSoYaQQSKEboYwvJDqhgmastYTyNEmbdBYKoSPpTnBZSNsvyfKChSHVEOMmanePbSZtmlygTGUSvJnrmbYiJClevAkUSJtFnviGqSrEAlzKAtlMUqNIxQAIGwJitNOFCJbqQSeGeWmJhguIEvPtcAjlVVVuCvCQRcuXyRQCpREgOMvaWnqvFNcGfubvKezmXKeRqCAMAGeLfaotpyLoxvzPwCp,3.2,google,internet,"mountain view, california, united states",united states,Dutch,Microsoft Outlook,Electronic mail software
29,29,Victoria Ibarra,Dominican Republic,Santo Domingo,7318931340,9730089128,0mbenqp4sn@gmail.com,15vbugcsol@outlook.com,11-05-1998,onHckyeLofGkkLAxyNrwbUezK,#NmagDRu,FxHTXVoXnfZQJrynceaysjYLRTidZlTXIrjRbynMEQksDloylMlfsJRGGTVsXuPXFvctvNydZIfasvgBcUvbJjJPemStpphAYeEnRknYXjxtlzQKsiHgEpjwlZAKnCfOKnoxUzxyLHphWWYHDmUTLfTBimDaWJfJlpiJBKzGCdixUddPWDTSuIQIdaEsYJpETpmNwqNSVwcXEuOGcCwbSzSLBEyctAJKoCEpypBXbYxJZFDWJhTnNKkcxm,2.58,united states postal service,government administration,"washington, district of columbia, united states",united states,Persian,Microsoft PowerPoint,Presentation software
30,30,Dakota Wirth,United States of America,Sacramento,9070557215,6900856359,2pm9b7fenu@gmail.com,92zeqdstqn@outlook.com,05-05-1990,qtoToriJfiiOgHxptBtXJWxLe,#McPfKBn,qdHHBsRwyzkteksCPMMGGkVMiZfwXeiNNCZXBfncWrjOAVKSfbgCjvcKWhzsIslSrxJTsQiBbApDLKvIgMdTPXMePBiHkWIscNuawJuYNWqNkErFdzrnSEOQJCjTKvGPyrpFZSONAtkLkArcQJNuNDGrbsAESswpIGayIWuVhmoCUEjuKModQOndTLQmWKpxTaGDmIlVoulhpSlcgOthSKasrpMerfKonGftMeOCAQUowYhWcYnhqbnlUv,3.11,mcdonald's corporation,restaurants,"oak brook, illinois, united states",united states,French,Microsoft Project,Project management software
31,31,Lauren Klocker,United States of America,Los Angeles,7884870914,7327135878,plzw8cou3e@gmail.com,fm0yussxf8@outlook.com,17-09-1992,qebDyzLqMdLXuAFNgCgmXOCMS,#QzSnsjy,oWIVbLesCwuqsxiuXHMuamfuLCbaiWCvldFxgeWCmLvOmYgDRGbjpXHbEmEEyxYRtEcVdrcdFtAaRvJvnrSFREQrFEzERDQSFYrcApQMMorFMAbmYLzjPKRDdNlKVQUJEJQdHbcaLjPKzDKIfkEPgRsxnQggRByAuWVJNRvowDFprIzNSHAOkrsrOKiswPEyMGxrwkHqRIvOSkdZiksVclvftYLaYMshjhUolhHKuggLLiznVHyIZtCfrV,3,ericsson,information technology and services,"kista, stockholm, sweden",sweden,Romanian,Microsoft Publisher,Desktop publishing software
32,32,Michael Benson,United States of America,Phoenix,7912986826,8833824947,gufesgyg9p@gmail.com,39r5g69kzb@outlook.com,09-12-2005,CcCQfcEZyMMPbNxzPlatlqVEY,#pzkIqJl,pCxhJRrDsXLGXgwKhZwDVXgAkOMeFIOUgsqdrXCRUykqqSvivRektCiqJHEdbInZpYoLaZlIKumqZSGOWWCbSlXCcWfKnOprVFDqCAfwRVxtRfWiAcoqCEwmEHgDbcoUZxlNZIWMZxgVEIAaEXzIiAYmOXoGTiLdkBKhxrNNyoSmgpThdsAzFtpwrftGONPnNXfKtkZSIaODRCrbqcbHgamBSDsGYjrTPgjawsfDvzHKPWuQYISRRDoBLy,3,nhs,hospital & health care,,,Russian,Microsoft SharePoint,Project management software
33,33,Sean Rozga,United States of America,Los Angeles,7711426425,7105442413,v1eu0ue5nd@gmail.com,42o3vzxo3v@outlook.com,15-06-1970,KNtoTQHqGLsvkzSZDdyxdNcBO,#pBJydtL,oBHgHIVLwhrcQZlkqhszBKkzxkFUNKRfGiifiFcVpONQhNoNeTRwFGwskaZjkGWqNrYoIQgbAELRvBeNeePIhhSVyAwGXiVbziWzAXtReqMHCoyCpevyCQKogAMyprnAxnDURzTAiiNgJuSRghgXHosmFvhiBApUUNpGZgsNrJGpewUfFSkvERmsqbsbUJjacDjmWMxbIkBuxKRRYanrfpKqFUMUaDaMAuxXzrGuLHWAPmzmsQPlCZYxlO,3.61,boeing,aviation & aerospace,"chicago, illinois, united states",united states,Japanese,Microsoft Word,Word processing software
34,34,Cody Vermeylen,United States of America,Detroit,9487570081,9945753790,wfxjl84dbw@gmail.com,on3pgqcfka@outlook.com,05-04-2001,cGptRJzIFwKIJvilcqkQIuLAq,#DcudpRW,xxwjXdjSnimmTQIngkXwGQLcecRNDiSyRxCiGoGlTuuYKofGNwaJTktXXXjmyxalFmGdOwCSCAknHRHBnmwsnznCyiaRAKDZrAkFcJFrSBLMAOwJerGRifBuYIYodlZxEjgbbdbDnTxSEkfDmHQknZPNRIhzZFsgNfhAaerAWqXNrHzMpzAaWxLdvFnhpQZnfNCLJLvWbVIbIuSVnVulnrNqgWaLonYMbdtOroonhvmIZXSKzrcnMVSfjw,3.53,vodafone,telecommunications,"berks, west berkshire, united kingdom",united kingdom,Indonesian,Nedstat Sitestat,Analytical or scientific software
